CICLO,ID_RAMO,DESC_RAMO,ID_MODALIDAD,DESC_MODALIDAD,EJERCIDO_MPD
2016,25,"Previsiones y Aportaciones para los Sistemas de Educación Básica, Normal, Tecnológica y de Adultos",M,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,332.1952025
2016,25,"Previsiones y Aportaciones para los Sistemas de Educación Básica, Normal, Tecnológica y de Adultos",O,Apoyo a la función pública y al mejoramiento de la gestión,32.41232228
2016,25,"Previsiones y Aportaciones para los Sistemas de Educación Básica, Normal, Tecnológica y de Adultos",S,Sujetos a Reglas de Operación,32.71773131
2016,25,"Previsiones y Aportaciones para los Sistemas de Educación Básica, Normal, Tecnológica y de Adultos",U,Otros Subsidios,132.61336766
2016,27,Función Pública,K,Proyectos de Inversión,285.81202773
2016,27,Función Pública,M,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,134.93114171000002
2016,27,Función Pública,O,Apoyo a la función pública y al mejoramiento de la gestión,1923.55196627
2016,28,Participaciones a Entidades Federativas y Municipios,C,Participaciones a entidades federativas y municipios,693777.57856
2016,30,Adeudos de Ejercicios Fiscales Anteriores,H,Adeudos de Ejercicios Fiscales Anteriores (ADEFAS),20814.704997380002
2016,31,Tribunales Agrarios,E,Prestación de Servicios Públicos,871.96155099
2016,31,Tribunales Agrarios,M,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,88.17150598
2016,31,Tribunales Agrarios,O,Apoyo a la función pública y al mejoramiento de la gestión,1.4886986299999998
2016,32,Tribunal Federal de Justicia Administrativa,E,Prestación de Servicios Públicos,2360.5780364
2016,32,Tribunal Federal de Justicia Administrativa,K,Proyectos de Inversión,22.322090510000002
2016,32,Tribunal Federal de Justicia Administrativa,M,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,78.47350363
2016,33,Aportaciones Federales para Entidades Federativas y Municipios,I,Gasto Federalizado,631340.30141242
2016,34,Erogaciones para los Programas de Apoyo a Ahorradores y Deudores de la Banca,D,"Costo financiero, deuda o apoyos a deudores y ahorradores de la banca",20555.34209884
2016,35,Comisión Nacional de los Derechos Humanos,E,Prestación de Servicios Públicos,1220.2834694100002
2016,35,Comisión Nacional de los Derechos Humanos,M,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,199.74162098
